# phase-3C mixing-PDF oracle — key	u64 bits	repr
# cpython 3.14.3
cfg/0.0625/9.0/C_pq	4611123068473966592	1.875
cfg/0.0625/9.0/C_tr	4611123068473966592	1.875
cfg/0.0625/16.0/C_pdf	4612811918334230528	2.5
cfg/0.0625/16.0/C_qp	4612811918334230528	2.5
cfg/0.0625/16.0/C_pq	4612811918334230528	2.5
cfg/0.0625/16.0/C_tr	4612811918334230528	2.5
cfg/0.0625/25.0/C_pdf	4614219293217783808	3.125
cfg/0.0625/25.0/C_qp	4614219293217783808	3.125
cfg/0.0625/25.0/C_pq	4614219293217783808	3.125
cfg/0.0625/25.0/C_tr	4614219293217783808	3.125
cfg/0.0625/64.0/C_pdf	4617315517961601024	5.0
cfg/0.0625/64.0/C_qp	4617315517961601024	5.0
cfg/0.0625/64.0/C_pq	4617315517961601024	5.0
cfg/0.0625/64.0/C_tr	4617315517961601024	5.0
cfg/0.0625/100.0/C_pdf	4618722892845154304	6.25
cfg/0.0625/100.0/C_qp	4618722892845154304	6.25
cfg/0.0625/100.0/C_pq	4618722892845154304	6.25
cfg/0.0625/100.0/C_tr	4618722892845154304	6.25
cfg/0.0625/225.0/C_pdf	4621467273868083200	9.375
cfg/0.0625/225.0/C_qp	4621467273868083200	9.375
cfg/0.0625/225.0/C_pq	4621467273868083200	9.375
cfg/0.0625/225.0/C_tr	4621467273868083200	9.375
cfg/0.0625/625.0/C_pdf	4624985711076966400	15.625
cfg/0.0625/625.0/C_qp	4624985711076966400	15.625
cfg/0.0625/625.0/C_pq	4624985711076966400	15.625
cfg/0.0625/625.0/C_tr	4624985711076966400	15.625
cfg/0.0625/C0.01/g_pdf	4599075939470750515	0.3
cfg/0.0625/C0.01/u_qp	4616870979110786325	4.605170185988091
cfg/0.0625/C0.01/g_qp	4599075939470750515	0.3
cfg/0.0625/C0.01/D_qp	4623139943870190853	12.34625879830356
cfg/0.0625/C0.01/g_pq	4599075939470750515	0.3
cfg/0.0625/C0.01/tcore_pq	4585498671262046556	0.03703877639491068
cfg/0.0625/C0.01/omega_tr	4576877093609488474	0.009928640944878154
cfg/0.0625/C0.25/g_pdf	4599075939470750515	0.3
cfg/0.0625/C0.25/u_qp	4608922133940812271	1.3862943611198906
cfg/0.0625/C0.25/g_qp	4599075939470750515	0.3
cfg/0.0625/C0.25/D_qp	4616526340079860106	4.299069236133059
cfg/0.0625/C0.25/g_pq	4599075939470750515	0.3
cfg/0.0625/C0.25/tcore_pq	4578588355839250743	0.012897207708399179
cfg/0.0625/C0.25/omega_tr	4639587874736559438	153.01845258815814
cfg/0.0625/C0.5/g_pdf	4596659998012333855	0.2079441541679836
cfg/0.0625/C0.5/u_qp	4604418534313441775	0.6931471805599453
cfg/0.0625/C0.5/g_qp	4596659998012333855	0.2079441541679836
cfg/0.0625/C0.5/D_qp	4612960990374858464	2.5662012847331965
cfg/0.0625/C0.5/g_pq	4596659998012333855	0.2079441541679836
cfg/0.0625/C0.5/tcore_pq	4575525908092638806	0.00769860385419959
cfg/0.0625/C0.5/omega_tr	4644241763998484903	314.57988182376215
cfg/0.0625/C0.8/g_pdf	4589488176892999187	0.06694306539426291
cfg/0.0625/C0.8/u_qp	4597207614006925856	0.2231435513142097
cfg/0.0625/C0.8/g_qp	4589488176892999187	0.06694306539426291
cfg/0.0625/C0.8/D_qp	4608944191898494335	1.3911922116188575
cfg/0.0625/C0.8/g_pq	4589488176892999187	0.06694306539426291
cfg/0.0625/C0.8/tcore_pq	4571461828407133765	0.004173576634856573
cfg/0.0625/C0.8/omega_tr	4645571459779324947	390.16433605150195
cfg/0.0625/C1.0/g_pdf	0	0.0
cfg/0.0625/C1.0/u_qp	0	0.0
cfg/0.0625/C1.0/g_qp	0	0.0
cfg/0.0625/C1.0/D_qp	4605681218924227243	0.8333333333333334
cfg/0.0625/C1.0/g_pq	0	0.0
cfg/0.0625/C1.0/tcore_pq	4567911030049346683	0.0025
cfg/0.0625/C1.0/omega_tr	4645744490609377280	400.0
cfg/0.0625/C1.25/g_pdf	4589488176892999188	0.06694306539426292
cfg/0.0625/C1.25/u_qp	4597207614006925858	0.22314355131420976
cfg/0.0625/C1.25/g_qp	4589488176892999188	0.06694306539426292
cfg/0.0625/C1.25/D_qp	4608944191898494336	1.3911922116188578
cfg/0.0625/C1.25/g_pq	4589488176892999188	0.06694306539426292
cfg/0.0625/C1.25/tcore_pq	4571461828407133766	0.004173576634856574
cfg/0.0625/C1.25/omega_tr	4645571459779324947	390.16433605150195
cfg/0.0625/C2.0/g_pdf	4596659998012333855	0.2079441541679836
cfg/0.0625/C2.0/u_qp	4604418534313441775	0.6931471805599453
cfg/0.0625/C2.0/g_qp	4596659998012333855	0.2079441541679836
cfg/0.0625/C2.0/D_qp	4612960990374858464	2.5662012847331965
cfg/0.0625/C2.0/g_pq	4596659998012333855	0.2079441541679836
cfg/0.0625/C2.0/tcore_pq	4575525908092638806	0.00769860385419959
cfg/0.0625/C2.0/omega_tr	4644241763998484903	314.57988182376215
cfg/0.0625/C4.0/g_pdf	4599075939470750515	0.3
cfg/0.0625/C4.0/u_qp	4608922133940812271	1.3862943611198906
cfg/0.0625/C4.0/g_qp	4599075939470750515	0.3
cfg/0.0625/C4.0/D_qp	4616526340079860106	4.299069236133059
cfg/0.0625/C4.0/g_pq	4599075939470750515	0.3
cfg/0.0625/C4.0/tcore_pq	4578588355839250743	0.012897207708399179
cfg/0.0625/C4.0/omega_tr	4639587874736559438	153.01845258815814
cfg/0.0625/C100.0/g_pdf	4599075939470750515	0.3
cfg/0.0625/C100.0/u_qp	4616870979110786326	4.605170185988092
cfg/0.0625/C100.0/g_qp	4599075939470750515	0.3
cfg/0.0625/C100.0/D_qp	4623139943870190854	12.346258798303563
cfg/0.0625/C100.0/g_pq	4599075939470750515	0.3
cfg/0.0625/C100.0/tcore_pq	4585498671262046557	0.03703877639491069
