# phase-5I off-design matcher oracle — key	u64 bits	repr
# pypy 3.11.15
hw/cpg/A4	4563893732593155902	0.001355449974095493
hw/cpg/A8	4568977292614859180	0.0029624176759874467
hw/cpg/f_design	4584669273506512825	0.03128367336512334
hw/cpg/pi_d_max	4606912202822375178	0.97
hw/cpg/pi_d_design	4606912202822375178	0.97
hw/cpg/ref2/Tt	4643741180423569407	286.12499999999994
hw/cpg/ref2/pt	4680081772134739219	77785.20992963416
hw/cpg/ref3/Tt	4648389774525228686	588.7339632689998
hw/cpg/ref3/pt	4694928910747891800	777852.0992963417
hw/cpg/ref4/Tt	4654311885213007872	1500.0
hw/cpg/ref4/pt	4694661642801683581	746738.0153244879
hw/cpg/ref5/Tt	4653255576954920251	1259.8233089575795
hw/cpg/ref5/pt	4689232804587847137	319513.0337571782
hw/cpg/ref9/Tt	4653255576954920251	1259.8233089575795
hw/cpg/ref9/pt	4689123020745396511	313122.7730820346
hw/cpg/ref/A4_over_A8	4601914082211776837	0.45754857091300877
hw/tpg/A4	4563886260492268407	0.0013538297204924424
hw/tpg/A8	4568943913479691051	0.0029479417836414576
hw/tpg/f_design	4583515894746797889	0.027265250260220645
hw/tpg/pi_d_max	4606912202822375178	0.97
hw/tpg/pi_d_design	4606912202822375178	0.97
hw/tpg/ref2/Tt	4643745586963694955	286.3754828060834
hw/tpg/ref2/pt	4680086807681088516	77858.48677323764
hw/tpg/ref3/Tt	4648343779432381832	583.5049266125288
hw/tpg/ref3/pt	4694935205180828421	778584.8677323764
hw/tpg/ref4/Tt	4654311885213007872	1500.0
hw/tpg/ref4/pt	4694667685457302737	747441.4730230813
hw/tpg/ref5/Tt	4653271803104159988	1263.5127081485089
hw/tpg/ref5/pt	4689250316522041599	320532.36248470837
hw/tpg/ref9/Tt	4653271803104159988	1263.5127081485089
hw/tpg/ref9/pt	4689140182440907084	314121.7152350142
hw/tpg/ref/A4_over_A8	4601944655781187302	0.45924574494823245
hw/eq/A4	4563886030393706520	0.0013537798258203056
hw/eq/A8	4568938132128741297	0.002945434522337608
hw/eq/f_design	4583491089772941734	0.02717919071928212
hw/eq/pi_d_max	4606912202822375178	0.97
hw/eq/pi_d_design	4606912202822375178	0.97
hw/eq/ref2/Tt	4643745586963694955	286.3754828060834
hw/eq/ref2/pt	4680086807681088516	77858.48677323764
hw/eq/ref3/Tt	4648343779432381832	583.5049266125288
hw/eq/ref3/pt	4694935205180828421	778584.8677323764
hw/eq/ref4/Tt	4654311885213007872	1500.0
hw/eq/ref4/pt	4694667685457302737	747441.4730230813
hw/eq/ref5/Tt	4653268190414211658	1262.6912775567203
hw/eq/ref5/pt	4689252979832730920	320687.3875702196
hw/eq/ref9/Tt	4653268190414211658	1262.6912775567203
hw/eq/ref9/pt	4689142792485382618	314273.63981881517
hw/eq/ref/A4_over_A8	4601951392933219542	0.4596197320135621
mfp/cpg/0/0	4585847801939217816	0.03946135712240134
mfp/cpg/0/1	4585847801939217816	0.03946135712240134
mfp/cpg/0/2	4585847801939217816	0.03946135712240134
mfp/cpg/0/3	4585847801939217816	0.03946135712240134
mfp/cpg/1/0	4585847801939217813	0.03946135712240132
mfp/cpg/1/1	4585847801939217813	0.03946135712240132
mfp/cpg/1/2	4585847801939217813	0.03946135712240132
mfp/cpg/1/3	4585847801939217813	0.03946135712240132
mfp/cpg/2/0	4585847801939217814	0.03946135712240133
mfp/cpg/2/1	4585847801939217814	0.03946135712240133
mfp/cpg/2/2	4585847801939217814	0.03946135712240133
mfp/cpg/2/3	4585847801939217814	0.03946135712240133
mfp/cpg/3/0	4585847801939217814	0.03946135712240133
mfp/cpg/3/1	4585847801939217814	0.03946135712240133
mfp/cpg/3/2	4585847801939217814	0.03946135712240133
mfp/cpg/3/3	4585847801939217814	0.03946135712240133
mfp/cpg/4/0	4585847801939217816	0.03946135712240134
mfp/cpg/4/1	4585847801939217816	0.03946135712240134
mfp/cpg/4/2	4585847801939217816	0.03946135712240134
mfp/cpg/4/3	4585847801939217816	0.03946135712240134
mfp/cpg/5/0	4585847801939217814	0.03946135712240133
mfp/cpg/5/1	4585847801939217814	0.03946135712240133
mfp/cpg/5/2	4585847801939217814	0.03946135712240133
mfp/cpg/5/3	4585847801939217814	0.03946135712240133
mfp/tpg/0/0	4585957638063518670	0.040223498335741334
mfp/tpg/0/1	4585957638063518670	0.040223498335741334
mfp/tpg/0/2	4585957638063518670	0.040223498335741334
mfp/tpg/0/3	4585957638063518670	0.040223498335741334
mfp/tpg/1/0	4585922694398668747	0.039981027952734026
mfp/tpg/1/1	4585922694398668747	0.039981027952734026
mfp/tpg/1/2	4585922694398668747	0.039981027952734026
mfp/tpg/1/3	4585922694398668747	0.039981027952734026
mfp/tpg/2/0	4585883912074152394	0.03971192151756815
mfp/tpg/2/1	4585883912074152394	0.03971192151756815
mfp/tpg/2/2	4585883912074152394	0.03971192151756815
mfp/tpg/2/3	4585883912074152394	0.03971192151756815
mfp/tpg/3/0	4585843781277287921	0.03943345817584632
mfp/tpg/3/1	4585843781277287921	0.03943345817584632
mfp/tpg/3/2	4585843781277287921	0.03943345817584632
mfp/tpg/3/3	4585843781277287921	0.03943345817584632
mfp/tpg/4/0	4585827084239234477	0.03931759920028397
mfp/tpg/4/1	4585827084239234477	0.03931759920028397
mfp/tpg/4/2	4585827084239234477	0.03931759920028397
mfp/tpg/4/3	4585827084239234477	0.03931759920028397
mfp/tpg/5/0	4585811729156961487	0.03921105191350593
mfp/tpg/5/1	4585811729156961487	0.03921105191350593
mfp/tpg/5/2	4585811729156961487	0.03921105191350593
mfp/tpg/5/3	4585811729156961487	0.03921105191350593
mfp/eq/0/frozen	4585956569513373240	0.04021608377965119
mfp/eq/1/frozen	4585922188871960699	0.03997752015654129
mfp/eq/2/frozen	4585883537118730806	0.03970931974167906
mfp/eq/3/frozen	4585843478508937988	0.039431357298388675
mfp/eq/4/frozen	4585826818363166983	0.03931575431446004
mfp/eq/5/frozen	4585811481967914601	0.03920933669493538
cell/cpg/0.30/400/abort	4618441417868443648	6.0
cell/cpg/0.30/500/abort	4607182418800017408	1.0
cell/cpg/0.30/600/abort	4607182418800017408	1.0
cell/cpg/0.30/650/abort	4607182418800017408	1.0
cell/cpg/0.30/900/abort	0	0.0
cell/cpg/0.30/900/branch	0	0.0
cell/cpg/0.30/900/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.30/900/pi_c	4617762799933172869	5.397266194671038
cell/cpg/0.30/900/tau_c	4610349255383127186	1.7031789779587467
cell/cpg/0.30/900/tau_t	4605740205924975101	0.8398822059717187
cell/cpg/0.30/900/pi_t	4601379591121935493	0.4278783551930661
cell/cpg/0.30/900/mdot_air	4602123615958118541	0.4691800303942351
cell/cpg/0.30/900/mdot_ratio	4602123615958118541	0.4691800303942351
cell/cpg/0.30/900/thrust	4642097225290356939	224.3384848872141
cell/cpg/0.30/900/V0	4636390020038410586	95.06497777835958
cell/cpg/0.30/900/V9	4647403177359497061	494.2854256959311
cell/cpg/0.30/900/M9	4607182418800017407	0.9999999999999999
cell/cpg/0.30/900/T9	4648992880001835330	657.2991177169972
cell/cpg/0.30/900/p9	4678645530798799685	61210.57388078285
cell/cpg/0.30/900/F_over_mdot	4647119321949296448	478.1501137179912
cell/cpg/0.30/900/tsfc	4540211083382244336	3.446582903621892e-05
cell/cpg/0.30/900/eta_th	4595279952184537856	0.16964018784155854
cell/cpg/0.30/900/eta_p	4600515132558363987	0.37989126513749233
cell/cpg/0.30/900/s2/Tt	4643158439260848128	254.5
cell/cpg/0.30/900/s2/pt	4677328081534983276	51624.8688784175
cell/cpg/0.30/900/s3/Tt	4646333108439920371	433.45904989050103
cell/cpg/0.30/900/s3/pt	4688530493697599490	278633.1596018077
cell/cpg/0.30/900/s4/Tt	4651127699538968576	900.0
cell/cpg/0.30/900/s4/pt	4688339018448308144	267487.8332177354
cell/cpg/0.30/900/s5/Tt	4649860129629263423	755.8939853745468
cell/cpg/0.30/900/s5/pt	4682601512224363335	114452.25411136179
cell/cpg/0.30/900/s9/Tt	4649860129629263423	755.8939853745468
cell/cpg/0.30/900/s9/pt	4682444210244087565	112163.20902913455
cell/cpg/0.30/900/s4/far	4580407211911600032	0.01647984007305292
cell/cpg/0.30/1100/abort	0	0.0
cell/cpg/0.30/1100/branch	0	0.0
cell/cpg/0.30/1100/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.30/1100/pi_c	4619831362345241430	7.234518688873171
cell/cpg/0.30/1100/tau_c	4611072574493887585	1.8637880841422645
cell/cpg/0.30/1100/tau_t	4605740205924975101	0.8398822059717187
cell/cpg/0.30/1100/pi_t	4601379591121935493	0.4278783551930661
cell/cpg/0.30/1100/mdot_air	4603273208050264869	0.565990421751256
cell/cpg/0.30/1100/mdot_ratio	4603273208050264869	0.565990421751256
cell/cpg/0.30/1100/thrust	4644989871699254443	357.10488121160114
cell/cpg/0.30/1100/V0	4636390020038410586	95.06497777835958
cell/cpg/0.30/1100/V9	4648017868108225219	546.453098791499
cell/cpg/0.30/1100/M9	4607182418800017406	0.9999999999999998
cell/cpg/0.30/1100/T9	4650277694264691766	803.3655883207746
cell/cpg/0.30/1100/p9	4680374634277058588	82046.91499826353
cell/cpg/0.30/1100/F_over_mdot	4648761005414541455	630.9380291395518
cell/cpg/0.30/1100/tsfc	4540181954478170701	3.426844390447669e-05
cell/cpg/0.30/1100/eta_th	4594930781353413303	0.15994875043550902
cell/cpg/0.30/1100/eta_p	4600971593900063014	0.40522995970776987
cell/cpg/0.30/1100/s2/Tt	4643158439260848128	254.5
cell/cpg/0.30/1100/s2/pt	4677328081534983276	51624.8688784175
cell/cpg/0.30/1100/s3/Tt	4647052189352766158	474.3340674142063
cell/cpg/0.30/1100/s3/pt	4690159968540279277	373481.0787115384
cell/cpg/0.30/1100/s4/Tt	4652552666608566272	1100.0
cell/cpg/0.30/1100/s4/pt	4689903314297280739	358541.83556307683
cell/cpg/0.30/1100/s5/Tt	4651337666031548323	923.8704265688906
cell/cpg/0.30/1100/s5/pt	4684511219014627057	153412.29086863206
cell/cpg/0.30/1100/s9/Tt	4651337666031548323	923.8704265688906
cell/cpg/0.30/1100/s9/pt	4684405794891093423	150344.04505125943
cell/cpg/0.30/1100/s4/far	4581889126596250794	0.021621264458769808
cell/cpg/0.30/1500/abort	0	0.0
cell/cpg/0.30/1500/branch	0	0.0
cell/cpg/0.30/1500/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.30/1500/pi_c	4623099732279461408	12.274828664088147
cell/cpg/0.30/1500/tau_c	4612113703530953382	2.1899303397070353
cell/cpg/0.30/1500/tau_t	4605740205924975101	0.8398822059717187
cell/cpg/0.30/1500/pi_t	4601379591121935493	0.4278783551930661
cell/cpg/0.30/1500/mdot_air	4605507509074787566	0.8140476658881235
cell/cpg/0.30/1500/mdot_ratio	4605507509074787566	0.8140476658881235
cell/cpg/0.30/1500/thrust	4649570811044467632	723.0022703750201
cell/cpg/0.30/1500/V0	4636390020038410586	95.06497777835958
cell/cpg/0.30/1500/V9	4648824176417173223	638.1197406644613
cell/cpg/0.30/1500/M9	4607182418800017402	0.9999999999999993
cell/cpg/0.30/1500/T9	4652532868932063502	1095.498529528329
cell/cpg/0.30/1500/p9	4684023205786757808	139209.23662408208
cell/cpg/0.30/1500/F_over_mdot	4651023528895941012	888.1571690107689
cell/cpg/0.30/1500/tsfc	4540452122835577079	3.609917590470691e-05
cell/cpg/0.30/1500/eta_th	4594566329014802779	0.14983316599291183
cell/cpg/0.30/1500/eta_p	4601069227740841781	0.41064972660852855
cell/cpg/0.30/1500/s2/Tt	4643158439260848128	254.5
cell/cpg/0.30/1500/s2/pt	4677328081534983276	51624.8688784175
cell/cpg/0.30/1500/s3/Tt	4648113606303447022	557.3372714554405
cell/cpg/0.30/1500/s3/pt	4693690536994803957	633686.4202885913
cell/cpg/0.30/1500/s4/Tt	4654311885213007872	1500.0
cell/cpg/0.30/1500/s4/pt	4693472803998719252	608338.9634770476
cell/cpg/0.30/1500/s5/Tt	4653255576954920246	1259.8233089575783
cell/cpg/0.30/1500/s5/pt	4688183683516599603	260295.07509241402
cell/cpg/0.30/1500/s9/Tt	4653255576954920246	1259.8233089575783
cell/cpg/0.30/1500/s9/pt	4688004810103026518	255089.17359056574
cell/cpg/0.30/1500/s4/far	4584781404996170678	0.03206174187514625
cell/cpg/0.50/400/abort	4607182418800017408	1.0
cell/cpg/0.50/500/abort	0	0.0
cell/cpg/0.50/500/branch	4607182418800017408	1.0
cell/cpg/0.50/500/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.50/500/pi_c	4612275389257332834	2.2617332261789196
cell/cpg/0.50/500/tau_c	4608526381187135324	1.2984195972816996
cell/cpg/0.50/500/tau_t	4606034982008518734	0.8726089254776157
cell/cpg/0.50/500/pi_t	4602824271006705786	0.516148397514612
cell/cpg/0.50/500/mdot_air	4599018892417266382	0.29683325238674463
cell/cpg/0.50/500/mdot_ratio	4599018892417266382	0.29683325238674463
cell/cpg/0.50/500/thrust	4627508271910466630	24.21193637878266
cell/cpg/0.50/500/V0	4639778685815524299	158.4416296305993
cell/cpg/0.50/500/V9	4642592870872958920	238.4255796163909
cell/cpg/0.50/500/M9	4603653951746009915	0.6082614635009586
cell/cpg/0.50/500/T9	4645979590522388574	413.3638828294405
cell/cpg/0.50/500/p9	4677104761256804352	50000.0
cell/cpg/0.50/500/F_over_mdot	4635440217122277002	81.56746652911002
cell/cpg/0.50/500/tsfc	4545636460001263251	8.142406578359245e-05
cell/cpg/0.50/500/eta_th	4588303162470449583	0.05649884334445986
cell/cpg/0.50/500/eta_p	4605423299249593366	0.8046984972050975
cell/cpg/0.50/500/s2/Tt	4643325565028270080	262.5
cell/cpg/0.50/500/s2/pt	4678139857026256349	57531.31294515331
cell/cpg/0.50/500/s3/Tt	4644703651460373412	340.83514428644617
