# phase-2 cycle oracle — key	u64 bits	repr
# pypy 3.11.15
ram/0.0	4607182418800017408	1.0
ram/0.5	4607182418800017408	1.0
ram/0.85	4607182418800017408	1.0
ram/1.0	4607182418800017408	1.0
ram/1.5	4606917409851197761	0.9705780963288718
ram/2.0	4606506878855911834	0.925
ram/3.0	4605460385570140568	0.8088159059021107
ram/5.0	4602792747292544526	0.5126485621862586
ram/5.0001	4602794148039147965	0.512804076299339
ram/6.0	4600131287693605421	0.35858359480053786
ram/8.0	4594897107473038142	0.1590141125024846
r1_ideal/st0/Tt	4643741180423569407	286.12499999999994
r1_ideal/st0/pt	4680247092513837086	80190.9380717878
r1_ideal/st0/mdot	4607182418800017408	1.0
r1_ideal/st0/far	0	0.0
r1_ideal/st2/Tt	4643741180423569407	286.12499999999994
r1_ideal/st2/pt	4680247092513837086	80190.9380717878
r1_ideal/st2/mdot	4607182418800017408	1.0
r1_ideal/st2/far	0	0.0
r1_ideal/st3/Tt	4648070361334396520	552.4208876767198
r1_ideal/st3/pt	4695135561221764134	801909.380717878
r1_ideal/st3/mdot	4607182418800017408	1.0
r1_ideal/st3/far	0	0.0
r1_ideal/st4/Tt	4654311885213007872	1500.0
r1_ideal/st4/pt	4695135561221764134	801909.380717878
r1_ideal/st4/mdot	4607286176900586785	1.023038926448699
r1_ideal/st4/far	4582297739844864047	0.023038926448698923
r1_ideal/st5/Tt	4653167078627999916	1239.7011190951262
r1_ideal/st5/pt	4690813869720412466	411543.13687564724
r1_ideal/st5/mdot	4607286176900586785	1.023038926448699
r1_ideal/st5/far	4582297739844864047	0.023038926448698923
r1_ideal/st9/Tt	4653167078627999916	1239.7011190951262
r1_ideal/st9/pt	4690813869720412466	411543.13687564724
r1_ideal/st9/mdot	4607286176900586785	1.023038926448699
r1_ideal/st9/far	4582297739844864047	0.023038926448698923
r1_ideal/V0	4643446910788215985	269.39770785958814
r1_ideal/V9	4652383357064533455	1061.5034666856407
r1_ideal/M9	4611759257861749896	2.0325248425356826
r1_ideal/T9	4649182269696397980	678.8302331888876
r1_ideal/p9	4677104761256804352	50000.0
r1_ideal/F	4650393768130969942	816.5616591200621
r1_ideal/tsfc	4538948692880684820	2.8214558192122296e-05
r1_ideal/eta_brayton	4602355506333243662	0.4820525320768788
r1_ideal/eta_thermal	4603108635010309118	0.547719143932113
r1_ideal/eta_propulsive	4601008961172900311	0.40730426004134074
r1_ideal/eta_overall	4597205624832382030	0.22308834062974586
r2_lossy/st0/Tt	4643741180423569407	286.12499999999994
r2_lossy/st0/pt	4680247092513837086	80190.9380717878
r2_lossy/st0/mdot	4607182418800017408	1.0
r2_lossy/st0/far	0	0.0
r2_lossy/st2/Tt	4643741180423569407	286.12499999999994
r2_lossy/st2/pt	4679971558548673974	76181.3911681984
r2_lossy/st2/mdot	4607182418800017408	1.0
r2_lossy/st2/far	0	0.0
r2_lossy/st3/Tt	4648389774525228686	588.7339632689998
r2_lossy/st3/pt	4694791143765310244	761813.9116819841
r2_lossy/st3/mdot	4607182418800017408	1.0
r2_lossy/st3/far	0	0.0
r2_lossy/st4/Tt	4654311885213007872	1500.0
r2_lossy/st4/pt	4694463947181679048	723723.2160978848
r2_lossy/st4/mdot	4607283245729322722	1.0223880756834025
r2_lossy/st4/far	4582110144883964013	0.022388075683402443
r2_lossy/st5/Tt	4652996991540810173	1201.0277929353608
r2_lossy/st5/pt	4688920561255077567	301338.0797208361
r2_lossy/st5/mdot	4607283245729322722	1.0223880756834025
r2_lossy/st5/far	4582110144883964013	0.022388075683402443
r2_lossy/st9/Tt	4652996991540810173	1201.0277929353608
r2_lossy/st9/pt	4688817022279282332	295311.3181264193
r2_lossy/st9/mdot	4607283245729322722	1.0223880756834025
r2_lossy/st9/far	4582110144883964013	0.022388075683402443
r2_lossy/V0	4643446910788215985	269.39770785958814
r2_lossy/V9	4651830590564295313	979.909457932301
r2_lossy/M9	4610866320518517735	1.817990501667049
r2_lossy/T9	4649571383421339520	723.06734209157
r2_lossy/p9	4677104761256804352	50000.0
r2_lossy/F	4649653914480134458	732.4500371797833
r2_lossy/tsfc	4539635571777951200	3.05660107133112e-05
r2_lossy/eta_brayton	4602804915466503730	0.5139995008759739
r2_lossy/eta_thermal	4602217609681164667	0.4743977301690376
r2_lossy/eta_propulsive	4601491291790921623	0.43407898792178784
r2_lossy/eta_overall	4596587289464986056	0.20592608658416922
r2_unified/st0/Tt	4643741180423569407	286.12499999999994
r2_unified/st0/pt	4680247092513837086	80190.9380717878
r2_unified/st0/mdot	4607182418800017408	1.0
r2_unified/st0/far	0	0.0
r2_unified/st2/Tt	4643741180423569407	286.12499999999994
r2_unified/st2/pt	4680247092513837086	80190.9380717878
r2_unified/st2/mdot	4607182418800017408	1.0
r2_unified/st2/far	0	0.0
r2_unified/st3/Tt	4648070361334396520	552.4208876767198
r2_unified/st3/pt	4695135561221764134	801909.380717878
r2_unified/st3/mdot	4607182418800017408	1.0
r2_unified/st3/far	0	0.0
r2_unified/st4/Tt	4654311885213007872	1500.0
r2_unified/st4/pt	4695135561221764134	801909.380717878
r2_unified/st4/mdot	4607286176900586785	1.023038926448699
r2_unified/st4/far	4582297739844864047	0.023038926448698923
r2_unified/st5/Tt	4653167078627999916	1239.7011190951262
r2_unified/st5/pt	4690813869720412466	411543.13687564724
r2_unified/st5/mdot	4607286176900586785	1.023038926448699
r2_unified/st5/far	4582297739844864047	0.023038926448698923
r2_unified/st9/Tt	4653167078627999916	1239.7011190951262
r2_unified/st9/pt	4690813869720412466	411543.13687564724
r2_unified/st9/mdot	4607286176900586785	1.023038926448699
r2_unified/st9/far	4582297739844864047	0.023038926448698923
r2_unified/V0	4643446910788215985	269.39770785958814
r2_unified/V9	4652383357064533455	1061.5034666856407
r2_unified/M9	4611759257861749896	2.0325248425356826
r2_unified/T9	4649182269696397980	678.8302331888876
r2_unified/p9	4677104761256804352	50000.0
r2_unified/F	4650393768130969942	816.5616591200621
r2_unified/tsfc	4538948692880684820	2.8214558192122296e-05
r2_unified/eta_brayton	4602355506333243662	0.4820525320768788
r2_unified/eta_thermal	4603108635010309118	0.547719143932113
r2_unified/eta_propulsive	4601008961172900311	0.40730426004134074
r2_unified/eta_overall	4597205624832382030	0.22308834062974586
r2_matt_iso/st0/Tt	4645569624280095784	390.05999999999995
r2_matt_iso/st0/pt	4690464763035598364	391222.45334336325
r2_matt_iso/st0/mdot	4607182418800017408	1.0
r2_matt_iso/st0/far	0	0.0
r2_matt_iso/st2/Tt	4645569624280095784	390.05999999999995
r2_matt_iso/st2/pt	4689649823528951608	343786.73087548045
r2_matt_iso/st2/mdot	4607182418800017408	1.0
r2_matt_iso/st2/far	0	0.0
r2_matt_iso/st3/Tt	4650337657511372996	810.1826202154848
r2_matt_iso/st3/pt	4704637175176972038	3437867.3087548045
r2_matt_iso/st3/mdot	4607182418800017408	1.0
r2_matt_iso/st3/far	0	0.0
r2_matt_iso/st4/Tt	4655631299166339072	1800.0
r2_matt_iso/st4/pt	4704194209347199355	3231595.270229516
r2_matt_iso/st4/mdot	4607343083223715748	1.0356746684856057
r2_matt_iso/st4/far	4585302082594141326	0.03567466848560584
r2_matt_iso/st5/Tt	4654171007048114877	1467.968013858582
r2_matt_iso/st5/pt	4697950831851011634	1210724.034103286
r2_matt_iso/st5/mdot	4607343083223715748	1.0356746684856057
r2_matt_iso/st5/far	4585302082594141326	0.03567466848560584
r2_matt_iso/st9/Tt	4654171007048114877	1467.968013858582
r2_matt_iso/st9/pt	4697742831045773442	1162295.0727391546
r2_matt_iso/st9/mdot	4607343083223715748	1.0356746684856057
r2_matt_iso/st9/far	4585302082594141326	0.03567466848560584
r2_matt_iso/V0	4648401349653288266	590.0499029743162
r2_matt_iso/V9	4653229470317489333	1253.8873468514478
r2_matt_iso/M9	4612255506512993084	2.252903513955429
r2_matt_iso/T9	4650542231708622515	833.4400137802207
r2_matt_iso/p9	4681608360884174848	100000.0
r2_matt_iso/F	4650309450537568444	806.9758585619488
r2_matt_iso/tsfc	4541648752064114294	4.420785096245505e-05
r2_matt_iso/eta_brayton	4602845929650978610	0.5185529900699974
