# phase-3B finite-quench oracle — key	u64 bits	repr
# pypy 3.11.15
sched/1.0/0.0	0	0.0
sched/1.0/0.125	4593671619917905920	0.125
sched/1.0/0.25	4598175219545276416	0.25
sched/1.0/0.3333333333333333	4599676419421066581	0.3333333333333333
sched/1.0/0.5	4602678819172646912	0.5
sched/1.0/0.625	4603804719079489536	0.625
sched/1.0/0.75	4604930618986332160	0.75
sched/1.0/0.875	4606056518893174784	0.875
sched/1.0/0.9	4606281698874543309	0.9
sched/1.0/1.0	4607182418800017408	1.0
sched/1.5/0.0	0	0.0
sched/1.5/0.125	4595707695387058816	0.18151244664320032
sched/1.5/0.25	4599985323370056960	0.350480947161671
sched/1.5/0.3333333333333333	4601880221900413526	0.45566894604818253
sched/1.5/0.5	4603997892963754522	0.6464466094067263
sched/1.5/0.625	4605114008595108750	0.770360336614077
sched/1.5/0.75	4606056518893174784	0.875
sched/1.5/0.875	4606784353070484547	0.9558058261758408
sched/1.5/0.9	4606897586150177881	0.9683772233983162
sched/1.5/1.0	4607182418800017408	1.0
sched/2.0/0.0	0	0.0
sched/2.0/0.125	4597612269591855104	0.234375
sched/2.0/0.25	4601552919265804288	0.4375
sched/2.0/0.3333333333333333	4603179219131243633	0.5555555555555555
sched/2.0/0.5	4604930618986332160	0.75
sched/2.0/0.625	4605915781404819456	0.859375
sched/2.0/0.75	4606619468846596096	0.9375
sched/2.0/0.875	4607041681311662080	0.984375
sched/2.0/0.9	4607092346807469998	0.99
sched/2.0/1.0	4607182418800017408	1.0
sched/2.5/0.0	0	0.0
sched/2.5/0.125	4598784527586320152	0.2838233908128003
sched/2.5/0.25	4602794658153518304	0.5128607103712532
sched/2.5/0.3333333333333333	4603913819957692615	0.6371126306987883
sched/2.5/0.5	4605590155881885965	0.8232233047033631
sched/2.5/0.625	4606406764973176662	0.913885126230279
sched/2.5/0.75	4606900943823306752	0.96875
sched/2.5/0.875	4607132660583825800	0.99447572827198
sched/2.5/0.9	4607153935535033455	0.9968377223398316
sched/2.5/1.0	4607182418800017408	1.0
sched/3.0/0.0	0	0.0
sched/3.0/0.125	4599617778800918528	0.330078125
sched/3.0/0.25	4603382506614423552	0.578125
sched/3.0/0.3333333333333333	4604513619020834891	0.7037037037037036
sched/3.0/0.5	4606056518893174784	0.875
sched/3.0/0.625	4606707429776818176	0.947265625
sched/3.0/0.75	4607041681311662080	0.984375
sched/3.0/0.875	4607164826613972992	0.998046875
sched/3.0/0.9	4607173411600762667	0.999
sched/3.0/1.0	4607182418800017408	1.0
sched/4.0/0.0	0	0.0
sched/4.0/0.125	4601126308754227200	0.413818359375
sched/4.0/0.25	4604332484660822016	0.68359375
sched/4.0/0.3333333333333333	4605403218947229063	0.802469135802469
sched/4.0/0.5	4606619468846596096	0.9375
sched/4.0/0.625	4607004297916317696	0.980224609375
sched/4.0/0.75	4607147234427928576	0.99609375
sched/4.0/0.875	4607180219776761856	0.999755859375
sched/4.0/0.9	4607181518080091934	0.9999
sched/4.0/1.0	4607182418800017408	1.0
tauq/J/1.0	4576277717357083871	0.008888888888888889
tauq/J/2.0	4573896587612201156	0.006285393610547089
tauq/J/4.0	4571774117729713375	0.0044444444444444444
tauq/J/8.0	4569392987984830660	0.0031426968052735444
tauq/J/16.0	4567270518102342879	0.0022222222222222222
tauq/J/32.0	4564889388357460164	0.0015713484026367722
tauq/J/64.0	4562766918474972383	0.0011111111111111111
tauq/J/128.0	4560385788730089668	0.0007856742013183861
tauq/H/0.05	4562766918474972383	0.0011111111111111111
tauq/H/0.1	4567270518102342879	0.0022222222222222222
tauq/H/0.2	4571774117729713375	0.0044444444444444444
tauq/Ce/0.1	4569832565890358095	0.0033333333333333335
tauq/Ce/0.15	4567270518102342879	0.0022222222222222222
tauq/Ce/0.25	4563791737590178470	0.0013333333333333335
tauq/Uc/50.0	4569832565890358095	0.0033333333333333335
tauq/Uc/75.0	4567270518102342879	0.0022222222222222222
tauq/Uc/120.0	4564047942368979991	0.001388888888888889
holdeman/0.0625/1.0/C	4603804719079489536	0.625
holdeman/0.0625/1.0/u	4608922133940812271	1.3862943611198906
holdeman/0.0625/1.0/w	4604480259023595110	0.7
holdeman/0.0625/1.0/tcore	4573528047366825892	0.005965735902799727
holdeman/0.0625/2.0/C	4606136534135933632	0.8838834764831844
holdeman/0.0625/2.0/u	4607361305248770931	1.0397207708399179
holdeman/0.0625/2.0/w	4604480259023595110	0.7
holdeman/0.0625/2.0/tcore	4572529117003919434	0.005099301927099795
holdeman/0.0625/4.0/C	4608308318706860032	1.25
